Date,Category,Amount,Description
2025-01-03,Food,450,Lunch at cafe
2025-01-05,Transport,200,Auto fare
2025-01-07,Shopping,1200,New shoes
2025-01-10,Food,600,Dinner with friends
2025-01-12,Bills,1500,Electricity bill
2025-01-15,Entertainment,350,Movie tickets
2025-01-18,Food,300,Groceries
2025-01-20,Transport,150,Bus pass
2025-01-22,Shopping,2200,Clothes shopping
2025-01-25,Bills,800,Mobile recharge
2025-01-28,Food,500,Restaurant dinner
2025-01-30,Entertainment,250,Streaming subscription
2025-02-02,Food,480,Lunch at cafe
2025-02-05,Transport,220,Auto fare
2025-02-08,Bills,1500,Electricity bill
2025-02-10,Shopping,900,Books
2025-02-13,Food,650,Dinner
2025-02-16,Entertainment,400,Concert ticket
2025-02-19,Food,320,Groceries
2025-02-22,Transport,180,Bus pass
2025-02-25,Bills,850,Mobile recharge
2025-02-28,Shopping,1800,Electronics accessory
